OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),UsageType,UsageType_Bin,NumPropertyUseTypes
116,2016,NonResidential,Hotel,98109.0,7,MAGNOLIA_QUEENANNE,47.62291,-122.35708,2002,1.0,6,96910,36934,59976,"Hotel, Parking",Hotel,59976.0,36934.0,,5155568.5,0.0,2637011.0,2518558.0,Multi_usage,1,2
117,2016,NonResidential,Hotel,98105.0,4,NORTHEAST,47.65772,-122.31756,1962,2.0,4,50017,0,50017,"Hotel, Swimming Pool",Hotel,50017.0,0.0,,5448975.0,0.0,2128306.0,3320669.0,Multi_usage,1,2
119,2016,NonResidential,K-12 School,98112.0,3,EAST,47.62548,-122.30828,1923,1.0,3,67743,0,67743,K-12 School,K-12 School,67743.0,,,2646879.0,0.0,1337786.0,1309093.0,Mono_usage,0,1
120,2016,NonResidential,K-12 School,98112.0,3,EAST,47.62644,-122.30429,1908,1.0,6,194104,0,194104,K-12 School,K-12 School,194104.0,,,6219841.5,0.0,1887893.0,4331949.0,Mono_usage,0,1
121,2016,NonResidential,Small- and Mid-Sized Office,98144.0,3,SOUTHEAST,47.58408,-122.30125,2003,1.0,3,99433,35752,63681,"Office, Parking",Office,63681.0,35752.0,,4897760.0,0.0,4897760.0,0.0,Multi_usage,1,2
125,2016,SPS-District K-12,K-12 School,98108.0,2,GREATER_DUWAMISH,47.56413,-122.31208,1957,1.0,1,130862,0,130862,K-12 School,K-12 School,134446.0,,,6456026.0,0.0,2262820.0,4193207.0,Mono_usage,0,1
127,2016,SPS-District K-12,K-12 School,98118.0,2,SOUTHEAST,47.55478,-122.27596,1989,1.0,3,59955,0,59955,K-12 School,K-12 School,59955.0,,,1633399.375,0.0,1436416.0,196983.0,Mono_usage,0,1
130,2016,SPS-District K-12,K-12 School,98119.0,7,MAGNOLIA_QUEENANNE,47.63683,-122.35896,1964,1.0,2,93218,0,93218,K-12 School,K-12 School,93218.0,,,2887392.0,0.0,1486758.0,1400634.0,Mono_usage,0,1
131,2016,NonResidential,Other,98115.0,4,NORTHEAST,47.67524,-122.31534,1941,1.0,4,56521,0,56521,Other,Other,49000.0,,,6357632.0,0.0,6357631.0,0.0,Mono_usage,0,1
132,2016,NonResidential,Other,98115.0,4,NORTHEAST,47.67559,-122.31769,1929,1.0,2,206934,0,206934,"Other, Parking",Other,119146.0,0.0,,4253577.5,0.0,2001103.0,2252474.0,Multi_usage,1,2
136,2016,NonResidential,Hotel,98133.0,5,NORTHWEST,47.73141,-122.3458,2001,1.0,4,51390,0,51390,"Hotel, Parking",Hotel,51390.0,0.0,,3611538.0,0.0,1398289.0,2213249.0,Multi_usage,1,2
137,2016,SPS-District K-12,K-12 School,98133.0,5,NORTHWEST,47.72463,-122.35315,1963,1.0,2,131013,0,131013,K-12 School,K-12 School,131909.0,,,3894584.5,0.0,1775488.0,2119097.0,Mono_usage,0,1
138,2016,SPS-District K-12,K-12 School,98133.0,5,NORTHWEST,47.7257,-122.33684,1959,1.0,1,245587,0,245587,K-12 School,K-12 School,245587.0,,,11765682.0,0.0,3926011.0,7839670.0,Mono_usage,0,1
139,2016,NonResidential,Hotel,98133.0,5,NORTHWEST,47.72551,-122.3423,2002,1.0,3,69138,0,69138,Hotel,Hotel,70609.0,,,3242458.0,0.0,1802889.0,1439568.0,Mono_usage,0,1
144,2016,NonResidential,Hotel,98104.0,7,DOWNTOWN,47.6048,-122.3368,1904,1.0,5,190980,0,190980,"Hotel, Parking",Hotel,190980.0,19051.0,,6505995.0,0.0,4402910.0,2103084.0,Multi_usage,1,2
145,2016,Nonresidential COS,Other,98111.0,7,DOWNTOWN,47.60804,-122.3367,1998,1.0,6,284100,0,284100,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,189750.0,,,14641502.0,4311136.0,9803021.0,527343.0,Mono_usage,0,1
147,2016,NonResidential,Hospital,98107.0,6,BALLARD,47.66737,-122.37956,1954,4.0,5,285333,0,285333,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),302661.0,148865.0,,68090728.0,0.0,35237205.0,32853512.0,Multi_usage,1,2
148,2016,SPS-District K-12,K-12 School,98107.0,6,BALLARD,47.6706,-122.36225,1991,1.0,2,55513,0,55513,K-12 School,K-12 School,59097.0,,,1513570.75,0.0,1513571.0,0.0,Mono_usage,0,1
163,2016,Nonresidential COS,Other,98104.0,2,DOWNTOWN,47.60112,-122.32785,2006,1.0,4,61156,0,61156,"Office, Other",Other,42755.0,29219.0,,9363374.0,0.0,6947270.0,2416104.0,Multi_usage,1,2
167,2016,NonResidential,Other,98104.0,2,DOWNTOWN,47.59809,-122.32283,1910,1.0,4,72820,13820,59000,Museum,Museum,58000.0,,,2010454.625,0.0,1311669.0,698785.0,Mono_usage,0,1
168,2016,NonResidential,Hotel,98109.0,7,MAGNOLIA_QUEENANNE,47.62614,-122.3467,1996,1.0,4,162222,14200,148022,"Hotel, Parking",Hotel,113702.0,32692.0,,7946961.0,0.0,4197462.0,3749499.0,Multi_usage,1,2
169,2016,SPS-District K-12,K-12 School,98144.0,2,SOUTHEAST,47.57589,-122.29365,1990,1.0,4,289588,0,289588,K-12 School,K-12 School,289588.0,,,8819852.0,0.0,6449764.0,2370086.0,Mono_usage,0,1
170,2016,NonResidential,University,98122.0,3,EAST,47.61495,-122.32177,1915,1.0,3,63330,0,63330,College/University,College/University,64820.0,,,3059758.0,0.0,1911064.0,1148694.0,Mono_usage,0,1
172,2016,Campus,University,98106.0,1,DELRIDGE,47.547,-122.35307,1970,27.0,2,441071,0,441071,College/University,College/University,483000.0,,,38301744.0,0.0,25314575.0,12987166.0,Mono_usage,0,1
173,2016,NonResidential,Small- and Mid-Sized Office,98115.0,4,NORTHEAST,47.67828,-122.26456,2002,1.0,2,96300,0,96300,"Data Center, Office",Office,92300.0,4944.0,,16319835.0,0.0,13973696.0,2346137.0,Multi_usage,1,2
174,2016,Nonresidential COS,Other,98134.0,2,GREATER_DUWAMISH,47.59545,-122.32146,1950,1.0,1,67356,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",68359.0,,,7475577.5,0.0,4182001.0,3293576.0,Mono_usage,0,4
175,2016,SPS-District K-12,K-12 School,98122.0,3,CENTRAL,47.60598,-122.30156,2008,1.0,3,254523,0,254523,K-12 School,K-12 School,254523.0,,,13567774.0,0.0,7835065.0,5732708.0,Mono_usage,0,1
176,2016,SPS-District K-12,K-12 School,98118.0,2,SOUTHEAST,47.51482,-122.25864,2001,1.0,3,78804,0,78804,K-12 School,K-12 School,78804.0,,,2499140.0,0.0,1645214.0,853926.0,Mono_usage,0,1
177,2016,SPS-District K-12,K-12 School,98122.0,3,CENTRAL,47.61224,-122.29087,2002,1.0,3,66994,0,66994,K-12 School,K-12 School,66994.0,,,2371304.5,0.0,1824845.0,546459.0,Mono_usage,0,1
178,2016,SPS-District K-12,K-12 School,98118.0,2,GREATER_DUWAMISH,47.52915,-122.28904,2000,1.0,3,98357,0,98357,K-12 School,K-12 School,98357.0,,,3456131.5,0.0,1927067.0,1529064.0,Mono_usage,0,1
