OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,SiteEnergyUse(kBtu),UsageType,NumPropertyUseTypes,BuildingAge,HasSteam,HasElectricity,HasGas,NbSourcesEnergies,SecondUseRatio,ThirdUseRatio,AreaPerFloor
249,NonResidential,Other,GREATER_DUWAMISH,1.0,3,1172127,0,Other - Entertainment/Public Assembly,58761304.0,Mono_usage,1,17,0,1,1,2,0.0,0.0,390709.0
250,NonResidential,Hotel,GREATER_DUWAMISH,1.0,9,168449,14567,Hotel,12726789.0,Multi_usage,3,11,0,1,1,2,0.12229220713687823,0.05471092140647911,18716.555555555555
257,NonResidential,Warehouse,GREATER_DUWAMISH,0.0,4,79600,0,Non-Refrigerated Warehouse,2411402.25,Mono_usage,1,100,0,1,0,1,0.0,0.0,19900.0
260,SPS-District K-12,K-12 School,LAKE_UNION,1.0,4,241066,0,K-12 School,7791957.0,Mono_usage,1,19,0,1,1,2,0.0,0.0,60266.5
261,Campus,Large Office,GREATER_DUWAMISH,14.0,2,334368,31874,Office,53466684.0,Multi_usage,4,36,0,1,1,2,0.21821167097329888,0.0501423581203943,167184.0
263,NonResidential,Other,NORTH,1.0,6,419848,335109,Parking,9134963.0,Multi_usage,5,8,0,1,1,2,0.15481793410948724,0.03231407557020636,69974.66666666667
267,NonResidential,Hotel,DOWNTOWN,1.0,1,934292,0,Hotel,65047284.0,Multi_usage,5,17,0,1,1,2,0.46961335428324336,0.053195360765156935,934292.0
268,NonResidential,Hospital,CENTRAL,6.0,5,597519,0,Hospital (General Medical & Surgical),143423024.0,Multi_usage,2,26,0,1,1,2,0.0813480408154385,0.0,119503.8
273,SPS-District K-12,K-12 School,DELRIDGE,1.0,1,71714,0,K-12 School,2371358.0,Mono_usage,1,17,0,1,1,2,0.0,0.0,71714.0
274,NonResidential,Warehouse,LAKE_UNION,1.0,3,75397,8161,Non-Refrigerated Warehouse,549181.375,Multi_usage,2,25,0,1,1,2,0.10824038091701262,0.0,25132.333333333332
278,NonResidential,Senior Care Community,DOWNTOWN,1.0,5,102796,12611,Senior Care Community,10105379.0,Multi_usage,6,17,0,1,1,2,0.3900054476827892,0.031431184092766254,20559.2
279,SPS-District K-12,K-12 School,SOUTHWEST,1.0,2,208981,0,K-12 School,8164853.0,Mono_usage,1,14,0,1,1,2,0.0,0.0,104490.5
